PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
1630696,Dru Smith,1610612748,MIA,27.0,16,10,6,17.1,6.5,2.4,3.3,1.6,0.1,1.0,0.468,0.4,0.762
1629130,Duncan Robinson,1610612765,DET,31.0,16,14,2,31.9,12.8,2.8,2.0,0.9,0.3,0.7,0.463,0.44,0.75
1641871,Duop Reath,1610612757,POR,29.0,12,7,5,7.2,3.4,0.5,0.3,0.0,0.1,0.1,0.583,0.591,0.0
203939,Dwight Powell,1610612742,DAL,34.0,13,3,10,9.0,2.1,2.0,0.6,0.3,0.2,0.4,0.5,0.0,0.833
1642928,Dylan Cardwell,1610612758,SAC,23.0,3,1,2,10.8,1.7,1.7,0.0,0.7,1.0,0.7,0.333,0.0,0.5
1642844,Dylan Harper,1610612759,SAS,19.0,6,5,1,23.4,14.0,4.0,3.8,0.7,0.0,1.8,0.5,0.357,0.833
1630700,Dyson Daniels,1610612737,ATL,22.0,17,10,7,32.8,9.2,6.1,5.6,2.3,0.5,2.2,0.476,0.158,0.625
1630604,E.J. Liddell,1610612751,BKN,24.0,5,1,4,4.9,2.4,1.4,0.0,0.0,0.0,0.0,0.364,0.25,0.667
1642856,Egor Dëmin,1610612751,BKN,19.0,14,3,11,21.3,7.7,3.2,3.5,0.9,0.2,1.6,0.389,0.388,0.889
1641989,Elijah Harkless,1610612762,UTA,25.0,7,2,5,9.4,2.4,0.9,0.7,0.6,0.0,0.4,0.364,0.286,0.778
201569,Eric Gordon,1610612755,PHI,36.0,3,2,1,7.1,2.7,0.0,0.3,0.3,0.0,0.7,0.6,0.5,0.0
1630596,Evan Mobley,1610612739,CLE,24.0,16,10,6,34.4,19.0,8.8,4.0,1.1,1.6,2.7,0.476,0.357,0.607
1630532,Franz Wagner,1610612753,ORL,24.0,17,10,7,35.4,23.5,6.4,3.9,1.1,0.4,1.9,0.47,0.358,0.844
1641713,GG Jackson,1610612763,MEM,20.0,8,4,4,6.8,2.5,1.8,0.3,0.5,0.1,0.3,0.25,0.0,0.667
1629216,Gabe Vincent,1610612747,LAL,29.0,4,3,1,21.9,4.3,0.8,2.0,0.8,0.0,0.5,0.313,0.308,1.0
202066,Garrett Temple,1610612761,TOR,39.0,3,3,0,3.3,1.3,0.3,0.3,0.0,0.3,0.3,0.5,0.5,0.5
1629726,Garrison Mathews,1610612754,IND,29.0,1,0,1,10.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203914,Gary Harris,1610612749,MIL,31.0,10,4,6,10.8,2.6,0.6,0.8,0.8,0.2,0.2,0.526,0.455,1.0
1627780,Gary Payton II,1610612744,GSW,32.0,17,8,9,10.8,2.9,2.8,1.2,0.6,0.4,0.5,0.458,0.222,1.0
1629018,Gary Trent Jr.,1610612749,MIL,26.0,17,8,9,27.8,10.1,1.4,1.9,1.0,0.1,0.8,0.405,0.382,0.722
203507,Giannis Antetokounmpo,1610612749,MIL,30.0,13,7,6,31.8,31.2,10.8,6.8,0.9,1.2,3.5,0.629,0.5,0.636
1629048,Goga Bitadze,1610612753,ORL,26.0,17,10,7,16.7,6.2,5.1,1.5,0.6,1.2,0.6,0.736,0.333,0.758
1641711,Gradey Dick,1610612761,TOR,22.0,16,11,5,16.7,7.4,2.1,0.6,0.7,0.1,0.4,0.427,0.333,0.833
1628960,Grayson Allen,1610612756,PHX,30.0,13,8,5,32.1,18.5,3.1,4.3,1.6,0.3,1.8,0.468,0.447,0.794
1627824,Guerschon Yabusele,1610612752,NYK,29.0,14,9,5,10.5,2.7,2.4,0.4,0.1,0.1,0.2,0.341,0.25,0.5
1630611,Gui Santos,1610612744,GSW,23.0,13,6,7,7.3,2.2,1.7,0.2,0.3,0.1,0.5,0.357,0.273,0.5
